stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
1,上大島工業団地,筑波地区,茨城県つくば市上大島1860,36.2311,140.057923
2,井戸川,筑波地区,茨城県つくば市上大島1257,36.22437702,140.0597255
3,上大島北,筑波地区,茨城県つくば市上大島1139-3,36.224186,140.065482
4,上大島児童館,筑波地区,茨城県つくば市上大島978,36.220899,140.066492
5,国松北,筑波地区,茨城県つくば市国松1895,36.215405,140.071872
6,ワンワールドインターナショナルスクールつくば校,筑波地区,茨城県つくば市国松1400,36.21467,140.074803
7,梅林入口,筑波地区,茨城県つくば市沼田1698-1,36.212425,140.092497
8,筑波東山,筑波地区,茨城県つくば市筑波226,36.212287,140.103827
9,筑波山神社入口,筑波地区,茨城県つくば市筑波1233-8,36.212007,140.096126
10,吉原接骨院,筑波地区,茨城県つくば市国松1083,36.211595,140.077088
11,筑波山郵便局,筑波地区,茨城県つくば市筑波802,36.211216,140.09942
12,国松南,筑波地区,茨城県つくば市国松1039,36.210416,140.078643
13,二十三夜前,筑波地区,茨城県つくば市沼田1435-8,36.210135,140.093914
14,沼田（酒寄医院）,筑波地区,茨城県つくば市国松８５５-２,36.209049,140.081984
15,サイカチ堂,筑波地区,茨城県つくば市上菅間1025,36.208532,140.059982
16,ふれあいの里,筑波地区,茨城県つくば市臼井2090-20,36.208424,140.112462
17,筑波四五六丁,筑波地区,茨城県つくば市筑波630,36.208358,140.097861
18,沼田（飯田医院）,筑波地区,茨城県つくば市沼田101,36.208194,140.080128
19,広瀬クリニック,筑波地区,茨城県つくば市国松56-1,36.208015,140.077191
20,馬場,筑波地区,茨城県つくば市沼田39-3,36.207608,140.077179
21,沼田（大越歯科医院前）,筑波地区,茨城県つくば市沼田233-8,36.207425,140.08084
22,筑波山口,筑波地区,茨城県つくば市沼田283,36.207146,140.07988
23,沼田（小倉医院）,筑波地区,茨城県つくば市沼田181,36.206376,140.08333
24,沼田中坪,筑波地区,茨城県つくば市沼田1345-1,36.205806,140.084449
25,飯名神社入口,筑波地区,茨城県つくば市臼井35,36.20268025,140.0907377
26,つくばわんわんランド,筑波地区,茨城県つくば市沼田934-7,36.202569,140.076717
27,中菅間北坪,筑波地区,茨城県つくば市中菅間977,36.200698,140.068332
28,臼井,筑波地区,茨城県つくば市臼井1073,36.200266,140.09463
29,六所,筑波地区,茨城県つくば市臼井2038,36.199149,140.11079
30,洞下十字路,筑波地区,茨城県つくば市洞下556,36.199,140.050823
31,中菅間児童館,筑波地区,茨城県つくば市中菅間１４４１,36.19839888,140.070246
32,立野入口,筑波地区,茨城県つくば市臼井1693-3,36.198201,140.10425
